Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Ahí nos vemos,See you there,[sound:Ahí_nos_vemos_1ab98a37.mp3],"Common meetup phrase | Example: ""Ahí nos vemos en el café a las 3"" = See you there at the café at 3",,,basic,daily plans,2
Ando en la calle,I'm out and about,[sound:Ando_en_la_calle_2262f982.mp3],"Colombian way to say you're outside | Example: ""No puedo hablar ahora, ando en la calle"" = I can't talk now, I'm out and about",,,basic,daily location,2
Así me gusta,That's how I like it / That's what I like,[sound:Así_me_gusta_7780bce0.mp3],"Approval expression | Common in romantic contexts | Example: ""Me preparaste café? Así me gusta!"" = You made me coffee? That's what I like!",,,basic,daily,2
Cinco minutos más,Five more minutes,[sound:Cinco_minutos_más_d7cdf37c.mp3],"Classic snooze request | Example: ""Mamá, cinco minutos más por favor"" = Mom, five more minutes please",,,basic,daily sleeping,2
Confirmado,Confirmed,[sound:Confirmado_f4594f46.mp3],"Plan confirmation | Example: ""Nos vemos a las 7? - Confirmado"" = See you at 7? - Confirmed",,,basic,daily plans,2
Dónde nos vemos,Where should we meet?,[sound:Dónde_nos_vemos_11d9657b.mp3],"Planning meetup location | Very common in WhatsApp | Example: ""Mañana salimos, pero dónde nos vemos?"" = We're going out tomorrow, but where should we meet?",,,basic,daily,2
El tráfico está horrible,The traffic is horrible,[sound:El_tráfico_está_horrible_084a8515.mp3],"Common Bogotá complaint | Example: ""Voy tarde, el tráfico está horrible"" = I'm late, the traffic is horrible",,,basic,daily traffic,2
Eres la única razón por la que me gusta,You're the only reason I like...,[sound:Eres_la_única_razón_por_la_que_me_gusta__8cd4a105.mp3],"Romantic expression, usually completed with a place/activity | Example: ""Eres la única razón por la que me gusta venir aquí"" = You're the only reason I like coming here",,,basic,daily,2
Estoy acostada,I'm lying down (female),[sound:Estoy_acostada_31fdf050.mp3],"Relaxing at home | Example: ""Ya terminé de trabajar, estoy acostada viendo Netflix"" = I finished working, I'm lying down watching Netflix",,,basic,daily resting,2
Estoy acostado,I'm lying down (male),[sound:Estoy_acostado_bc4b0a08.mp3],"Relaxing at home | Example: ""Estoy acostado leyendo"" = I'm lying down reading",,,basic,daily resting,2
Estoy afuera,I'm outside,[sound:Estoy_afuera_470cadd6.mp3],"Location update | Example: ""Ya llegué, estoy afuera del edificio"" = I arrived, I'm outside the building",,,basic,daily arrival,2
Estoy almorzando,I'm having lunch,[sound:Estoy_almorzando_1da26d24.mp3],"Meal in progress | Example: ""Te llamo en 20 minutos, estoy almorzando"" = I'll call you in 20 minutes, I'm having lunch",,,basic,daily eating,2
Estoy atascado en el tráfico,I'm stuck in traffic (male),[sound:Estoy_atascado_en_el_tráfico_14f6d5f4.mp3],"Common excuse for being late | Example: ""Perdón, estoy atascado en el tráfico de la 26"" = Sorry, I'm stuck in traffic on 26th Avenue",,,basic,daily traffic,2
Estoy cansada,I'm tired (female),[sound:Estoy_cansada_a11da179.mp3],"End of day feeling | Example: ""Fue un día muy largo, estoy cansada"" = It was a very long day, I'm tired",,,basic,daily tired,2
Estoy cansado,I'm tired (male),[sound:Estoy_cansado_50bb122a.mp3],"End of day feeling | Example: ""No quiero salir hoy, estoy cansado"" = I don't want to go out today, I'm tired",,,basic,daily tired,2
Estoy cenando,I'm having dinner,[sound:Estoy_cenando_3c081b6b.mp3],"Evening meal | Example: ""Luego hablamos? Estoy cenando con mi familia"" = Talk later? I'm having dinner with my family",,,basic,daily eating,2
Estoy comiendo,I'm eating,[sound:Estoy_comiendo_1065caeb.mp3],"General eating | Example: ""Dame 10 minutos, estoy comiendo"" = Give me 10 minutes, I'm eating",,,basic,daily eating,2
Estoy desayunando,I'm having breakfast,[sound:Estoy_desayunando_5ce552f7.mp3],"Morning meal | Example: ""Te escribo ya, apenas estoy desayunando"" = I'll text you soon, I'm just having breakfast",,,basic,daily eating,2
Estoy descansando,I'm resting,[sound:Estoy_descansando_81a054be.mp3],"Taking a break | Example: ""Estoy descansando un rato antes de salir"" = I'm resting a bit before going out",,,basic,daily resting,2
Estoy durmiendo,I'm sleeping,[sound:Estoy_durmiendo_0fc743d5.mp3],"Usually as excuse/explanation | Example: ""No me llames muy tarde porque ya estoy durmiendo"" = Don't call me too late because I'll be sleeping",,,basic,daily sleeping,2
Estoy en casa,I'm at home,[sound:Estoy_en_casa_afaf45fe.mp3],"Location update | Example: ""Si me necesitas, estoy en casa todo el día"" = If you need me, I'm home all day",,,basic,daily location,2
Estoy en el Uber,I'm in the Uber,[sound:Estoy_en_el_Uber_1467f92b.mp3],"Common transit update | Example: ""Ya salí, estoy en el Uber"" = I already left, I'm in the Uber",,,basic,daily transit,2
Estoy en el bus,I'm on the bus,[sound:Estoy_en_el_bus_ec6c5232.mp3],"Public transit update | Example: ""Estoy en el bus del Transmilenio"" = I'm on the Transmilenio bus",,,basic,daily transit,2
Estoy en el centro,I'm downtown,[sound:Estoy_en_el_centro_e42a6e82.mp3],"Location in city center | Example: ""Estoy en el centro haciendo unas vueltas"" = I'm downtown running some errands",,,basic,daily location,2
Estoy en el trabajo,I'm at work,[sound:Estoy_en_el_trabajo_7ff5ea3c.mp3],"Work location | Example: ""Hablamos después? Estoy en el trabajo"" = Talk later? I'm at work",,,basic,daily work,2
Estoy en la calle,I'm out/on the street,[sound:Estoy_en_la_calle_d66cc4ba.mp3],"Not at home, outside | Example: ""No puedo atender ahora, estoy en la calle"" = I can't answer now, I'm out",,,basic,daily location,2
Estoy en pijama todavía,I'm still in pajamas,[sound:Estoy_en_pijama_todavía_a6dc00dc.mp3],"Not ready to go out | Example: ""No puedo salir ahorita, estoy en pijama todavía"" = I can't go out right now, I'm still in pajamas",,,basic,daily getting_ready,2
Estoy en una reunión,I'm in a meeting,[sound:Estoy_en_una_reunión_eeeed91a.mp3],"Work excuse | Example: ""Te devuelvo la llamada, estoy en una reunión"" = I'll call you back, I'm in a meeting",,,basic,daily busy work,2
Estoy esperándote,I'm waiting for you,[sound:Estoy_esperándote_6e6bbf63.mp3],"Already arrived | Example: ""Dónde estás? Estoy esperándote afuera"" = Where are you? I'm waiting for you outside",,,basic,daily waiting,2
Estoy estudiando,I'm studying,[sound:Estoy_estudiando_dd0a0e14.mp3],"Student life | Example: ""No salgo hoy, estoy estudiando para el parcial"" = I'm not going out today, I'm studying for the exam",,,basic,daily studying,2
Estoy haciendo diligencias,I'm doing errands,[sound:Estoy_haciendo_diligencias_3a5b0728.mp3],"Running official errands | Example: ""Estoy haciendo diligencias en el banco"" = I'm doing errands at the bank",,,basic,daily errands,2
Estoy haciendo tarea,I'm doing homework,[sound:Estoy_haciendo_tarea_46da5b6d.mp3],"Student homework | Example: ""No puedo salir, estoy haciendo tarea"" = I can't go out, I'm doing homework",,,basic,daily studying,2
Estoy haciendo vueltas,I'm running errands,[sound:Estoy_haciendo_vueltas_caf84d10.mp3],"Colombian for errands | Example: ""Estoy haciendo vueltas por el barrio, necesitas algo?"" = I'm running errands around the neighborhood, need anything?",,,basic,daily errands,2
Estoy llena,I'm full (female),[sound:Estoy_llena_b197c689.mp3],"After eating | Example: ""No quiero postre, estoy llena"" = I don't want dessert, I'm full",,,basic,daily eating,2
Estoy lleno,I'm full (male),[sound:Estoy_lleno_2f43e4b6.mp3],"After eating | Example: ""Esa comida estuvo buenísima, estoy lleno"" = That food was delicious, I'm full",,,basic,daily eating,2
Estoy mamada,I'm exhausted (female slang),[sound:Estoy_mamada_72593e0f.mp3],"Colombian slang for very tired | Example: ""Estoy mamada de tanto trabajar"" = I'm exhausted from working so much",,,basic,daily tired,2
Estoy muerta,I'm dead tired (female),[sound:Estoy_muerta_4da8d2e1.mp3],"Extremely tired | Example: ""Estoy muerta, me voy a dormir ya"" = I'm dead tired, I'm going to sleep now",,,basic,daily tired,2
Estoy muerto,I'm dead tired (male),[sound:Estoy_muerto_9ee68508.mp3],"Extremely tired | Example: ""Estoy muerto, fue un día muy pesado"" = I'm dead tired, it was a very heavy day",,,basic,daily tired,2
Estoy ocupada,I'm busy (female),[sound:Estoy_ocupada_ce3778b6.mp3],"Can't talk/meet | Example: ""No puedo hoy, estoy ocupada con trabajo"" = I can't today, I'm busy with work",,,basic,daily busy,2
Estoy ocupado,I'm busy (male),[sound:Estoy_ocupado_4e37bb97.mp3],"Can't talk/meet | Example: ""Estoy ocupado ahorita, te llamo luego"" = I'm busy right now, I'll call you later",,,basic,daily busy,2
